DATE,GBRCPIALLMINMEI
01/01/2000,72.6
01/02/2000,72.8
01/03/2000,73
01/04/2000,73.3
01/05/2000,73.5
01/06/2000,73.6
01/07/2000,73.3
01/08/2000,73.3
01/09/2000,73.8
01/10/2000,73.8
01/11/2000,74
01/12/2000,74
01/01/2001,73.5
01/02/2001,73.7
01/03/2001,73.9
01/04/2001,74.4
01/05/2001,74.9
01/06/2001,75
01/07/2001,74.5
01/08/2001,74.8
01/09/2001,75
01/10/2001,74.9
01/11/2001,74.9
01/12/2001,75
01/01/2002,74.8
01/02/2002,75
01/03/2002,75.2
01/04/2002,75.6
01/05/2002,75.8
01/06/2002,75.8
01/07/2002,75.6
01/08/2002,75.8
01/09/2002,76
01/10/2002,76.1
01/11/2002,76.1
01/12/2002,76.3
01/01/2003,75.9
01/02/2003,76.1
01/03/2003,76.4
01/04/2003,76.8
01/05/2003,76.8
01/06/2003,76.7
01/07/2003,76.6
01/08/2003,76.8
01/09/2003,77
01/10/2003,77.1
01/11/2003,77.1
01/12/2003,77.3
01/01/2004,77
01/02/2004,77.2
01/03/2004,77.3
01/04/2004,77.6
01/05/2004,77.9
01/06/2004,77.9
01/07/2004,77.7
01/08/2004,77.9
01/09/2004,77.9
01/10/2004,78.1
01/11/2004,78.3
01/12/2004,78.6
01/01/2005,78.3
01/02/2005,78.5
01/03/2005,78.8
01/04/2005,79.1
01/05/2005,79.4
01/06/2005,79.4
01/07/2005,79.5
01/08/2005,79.7
01/09/2005,79.9
01/10/2005,80
01/11/2005,80
01/12/2005,80.3
01/01/2006,80
01/02/2006,80.2
01/03/2006,80.4
01/04/2006,80.9
01/05/2006,81.3
01/06/2006,81.5
01/07/2006,81.5
01/08/2006,81.8
01/09/2006,81.9
01/10/2006,82
01/11/2006,82.2
01/12/2006,82.6
01/01/2007,82.1
01/02/2007,82.4
01/03/2007,82.8
01/04/2007,83.1
01/05/2007,83.3
01/06/2007,83.5
01/07/2007,83.1
01/08/2007,83.4
01/09/2007,83.5
01/10/2007,83.8
01/11/2007,84.1
01/12/2007,84.5
01/01/2008,84.1
01/02/2008,84.6
01/03/2008,84.9
01/04/2008,85.6
01/05/2008,86.1
01/06/2008,86.6
01/07/2008,86.6
01/08/2008,87.1
01/09/2008,87.5
01/10/2008,87.3
01/11/2008,87.3
01/12/2008,87.1
01/01/2009,86.6
01/02/2009,87.2
01/03/2009,87.3
01/04/2009,87.5
01/05/2009,87.9
01/06/2009,88.1
01/07/2009,88
01/08/2009,88.3
01/09/2009,88.3
01/10/2009,88.4
01/11/2009,88.6
01/12/2009,88.9
01/01/2010,88.8
01/02/2010,89
01/03/2010,89.4
01/04/2010,89.9
01/05/2010,90.1
01/06/2010,90.2
01/07/2010,90
01/08/2010,90.4
01/09/2010,90.4
01/10/2010,90.6
01/11/2010,90.9
01/12/2010,91.7
01/01/2011,91.8
01/02/2011,92.3
01/03/2011,92.6
01/04/2011,93.3
01/05/2011,93.5
01/06/2011,93.5
01/07/2011,93.5
01/08/2011,93.9
01/09/2011,94.5
01/10/2011,94.5
01/11/2011,94.7
01/12/2011,95
01/01/2012,94.7
01/02/2012,95.2
01/03/2012,95.4
01/04/2012,95.9
01/05/2012,95.9
01/06/2012,95.6
01/07/2012,95.7
01/08/2012,96.1
01/09/2012,96.4
01/10/2012,96.8
01/11/2012,97
01/12/2012,97.3
01/01/2013,97
01/02/2013,97.5
01/03/2013,97.8
01/04/2013,98
01/05/2013,98.2
01/06/2013,98
01/07/2013,98
01/08/2013,98.4
01/09/2013,98.7
01/10/2013,98.8
01/11/2013,98.8
01/12/2013,99.2
01/01/2014,98.7
01/02/2014,99.1
01/03/2014,99.3
01/04/2014,99.6
01/05/2014,99.6
01/06/2014,99.8
01/07/2014,99.6
01/08/2014,99.9
01/09/2014,100
01/10/2014,100.1
01/11/2014,99.9
01/12/2014,99.9
01/01/2015,99.2
01/02/2015,99.5
01/03/2015,99.6
01/04/2015,99.9
01/05/2015,100.1
01/06/2015,100.1
01/07/2015,100
01/08/2015,100.3
01/09/2015,100.2
01/10/2015,100.3
01/11/2015,100.3
01/12/2015,100.4
01/01/2016,99.9
01/02/2016,100.1
01/03/2016,100.4
01/04/2016,100.6
01/05/2016,100.8
01/06/2016,101
01/07/2016,100.9
01/08/2016,101.2
01/09/2016,101.5
01/10/2016,101.6
01/11/2016,101.8
01/12/2016,102.2
01/01/2017,101.8
01/02/2017,102.4
01/03/2017,102.7
01/04/2017,103.2
01/05/2017,103.5
01/06/2017,103.5
01/07/2017,103.5
01/08/2017,104
01/09/2017,104.3
01/10/2017,104.4
01/11/2017,104.7
01/12/2017,105
01/01/2018,104.5
01/02/2018,104.9
01/03/2018,105.1
01/04/2018,105.5
01/05/2018,105.9
01/06/2018,105.9
01/07/2018,105.9
01/08/2018,106.5
01/09/2018,106.6
01/10/2018,106.7
01/11/2018,106.9
01/12/2018,107.1
01/01/2019,106.4
01/02/2019,106.8
01/03/2019,107
01/04/2019,107.6
01/05/2019,107.9
01/06/2019,107.9
01/07/2019,108
01/08/2019,108.3
01/09/2019,108.4
01/10/2019,108.3
01/11/2019,108.5
01/12/2019,108.5
01/01/2020,108.3
01/02/2020,108.6
01/03/2020,108.6
01/04/2020,108.6
01/05/2020,108.6
01/06/2020,108.8
01/07/2020,109.2
01/08/2020,108.8
01/09/2020,109.2
01/10/2020,109.2
01/11/2020,109.1
01/12/2020,109.4
01/01/2021,109.3
01/02/2021,109.4
01/03/2021,109.7
01/04/2021,110.4
01/05/2021,111
01/06/2021,111.4
01/07/2021,111.4
01/08/2021,112.1
01/09/2021,112.4
01/10/2021,113.4
01/11/2021,114.1
01/12/2021,114.7
01/01/2022,114.6
01/02/2022,115.4
01/03/2022,116.5
01/04/2022,119
01/05/2022,119.7
01/06/2022,120.5
01/07/2022,121.2
01/08/2022,121.8
01/09/2022,122.3
01/10/2022,124.3
01/11/2022,124.8
01/12/2022,125.3