DATE,XTIMVA01GBM664S
01/01/2000,17761339590
01/02/2000,17271150531
01/03/2000,17249997275
01/04/2000,18384062116
01/05/2000,17585668579
01/06/2000,18109685855
01/07/2000,19206150766
01/08/2000,18645856394
01/09/2000,19022067606
01/10/2000,18958431896
01/11/2000,19622933135
01/12/2000,20354588026
01/01/2001,19902896830
01/02/2001,20177097751
01/03/2001,19526476267
01/04/2001,19644841241
01/05/2001,19044537090
01/06/2001,19929536221
01/07/2001,18713376362
01/08/2001,19130721059
01/09/2001,18562085378
01/10/2001,18487936828
01/11/2001,18276078703
01/12/2001,18478835025
01/01/2002,18084111858
01/02/2002,18934226940
01/03/2002,19307452692
01/04/2002,18767084679
01/05/2002,19051553748
01/06/2002,19088523668
01/07/2002,19116258821
01/08/2002,18867994100
01/09/2002,18941589819
01/10/2002,18901551099
01/11/2002,19089751260
01/12/2002,18457382536
01/01/2003,18955995985
01/02/2003,19359883921
01/03/2003,19306637225
01/04/2003,19221537625
01/05/2003,19698006422
01/06/2003,19286579049
01/07/2003,19257870172
01/08/2003,19605466148
01/09/2003,20094414821
01/10/2003,20270454015
01/11/2003,20269812749
01/12/2003,20002806047
01/01/2004,20497096103
01/02/2004,19549368071
01/03/2004,19715357835
01/04/2004,20550811565
01/05/2004,20886990824
01/06/2004,20491895749
01/07/2004,21104990256
01/08/2004,21315022683
01/09/2004,21169689900
01/10/2004,22440591086
01/11/2004,21569282904
01/12/2004,21537897605
01/01/2005,21957792179
01/02/2005,21487477474
01/03/2005,21615681370
01/04/2005,22460672318
01/05/2005,21856034907
01/06/2005,21957106626
01/07/2005,22705559250
01/08/2005,23217016159
01/09/2005,23223264088
01/10/2005,23344052954
01/11/2005,23466725765
01/12/2005,24452267030
01/01/2006,25002537693
01/02/2006,25593471538
01/03/2006,25051307278
01/04/2006,25554407458
01/05/2006,26326163422
01/06/2006,25778576782
01/07/2006,25101751349
01/08/2006,24699049157
01/09/2006,24948607476
01/10/2006,24313504225
01/11/2006,24706954326
01/12/2006,25187116580
01/01/2007,24207623694
01/02/2007,25125251719
01/03/2007,25420373367
01/04/2007,24939334294
01/05/2007,24710660355
01/06/2007,26057648261
01/07/2007,25955276041
01/08/2007,26002815282
01/09/2007,26942009029
01/10/2007,26132591252
01/11/2007,26869826179
01/12/2007,26720324146
01/01/2008,27192305409
01/02/2008,27605883823
01/03/2008,27890164735
01/04/2008,28407172686
01/05/2008,28841602946
01/06/2008,30069423231
01/07/2008,29405196374
01/08/2008,29220796583
01/09/2008,28424235137
01/10/2008,27252260635
01/11/2008,27762084366
01/12/2008,25600411689
01/01/2009,25793042847
01/02/2009,25453200630
01/03/2009,24694877797
01/04/2009,25511893885
01/05/2009,24480646133
01/06/2009,24420326675
01/07/2009,24802739801
01/08/2009,24855937647
01/09/2009,25980228983
01/10/2009,26818944503
01/11/2009,26368557229
01/12/2009,27128337364
01/01/2010,27396747126
01/02/2010,27570284961
01/03/2010,28346855933
01/04/2010,28361094637
01/05/2010,29524672709
01/06/2010,30067038122
01/07/2010,30132915981
01/08/2010,30026108734
01/09/2010,29664485575
01/10/2010,30399406295
01/11/2010,31028999992
01/12/2010,32589472277
01/01/2011,33047740320
01/02/2011,31626482512
01/03/2011,31078705863
01/04/2011,31898330258
01/05/2011,33523890330
01/06/2011,31625462792
01/07/2011,33906241704
01/08/2011,32473868362
01/09/2011,33497255074
01/10/2011,33974100774
01/11/2011,33434412662
01/12/2011,32936412215
01/01/2012,33820774580
01/02/2012,32758082323
01/03/2012,33469041169
01/04/2012,33982066352
01/05/2012,32968212705
01/06/2012,32794486216
01/07/2012,32555137543
01/08/2012,34225289498
01/09/2012,33458524038
01/10/2012,32346413705
01/11/2012,32134067347
01/12/2012,34050056539
01/01/2013,32378427490
01/02/2013,33584795282
01/03/2013,35349513311
01/04/2013,32786458891
01/05/2013,33485680192
01/06/2013,34961656301
01/07/2013,34140747462
01/08/2013,34991152563
01/09/2013,35267492267
01/10/2013,34033279041
01/11/2013,34947030572
01/12/2013,32876293701
01/01/2014,33440158923
01/02/2014,33698007968
01/03/2014,32926933011
01/04/2014,33673674233
01/05/2014,34330931294
01/06/2014,33255013135
01/07/2014,34155762008
01/08/2014,33315860262
01/09/2014,33523034072
01/10/2014,33341807182
01/11/2014,33827204177
01/12/2014,34344463247
01/01/2015,32603111691
01/02/2015,34048536465
01/03/2015,33146593818
01/04/2015,32550041102
01/05/2015,33736643954
01/06/2015,32939927374
01/07/2015,32326648613
01/08/2015,32531124440
01/09/2015,32227362644
01/10/2015,34332010348
01/11/2015,32744457315
01/12/2015,31056578538
01/01/2016,32128614266
01/02/2016,33372391496
01/03/2016,33310386208
01/04/2016,35180035203
01/05/2016,33702801802
01/06/2016,35042751363
01/07/2016,35655860958
01/08/2016,36526435183
01/09/2016,37384141864
01/10/2016,36492241202
01/11/2016,37580424282
01/12/2016,38469760172
01/01/2017,37814869073
01/02/2017,38449431688
01/03/2017,38926941359
01/04/2017,39105110100
01/05/2017,38980426345
01/06/2017,39112746668
01/07/2017,38986696073
01/08/2017,39868802980
01/09/2017,40188055810
01/10/2017,38901604929
01/11/2017,39069189646
01/12/2017,39447366512
01/01/2018,39467565190
01/02/2018,37933033837
01/03/2018,39508806106
01/04/2018,38265925733
01/05/2018,39587768287
01/06/2018,40670618024
01/07/2018,40537272184
01/08/2018,41680019599
01/09/2018,40794586213
01/10/2018,41396730611
01/11/2018,41395488918
01/12/2018,40795231126
01/01/2019,41837525971
01/02/2019,42632614973
01/03/2019,43897992750
01/04/2019,38636265973
01/05/2019,40306169563
01/06/2019,40100037216
01/07/2019,40269345727
01/08/2019,41928861984
01/09/2019,41491415988
01/10/2019,42719555785
01/11/2019,37388245478
01/12/2019,36574300473
01/01/2020,36677129640
01/02/2020,36152167774
01/03/2020,34577972993
01/04/2020,26671512205
01/05/2020,27285044284
01/06/2020,31711229121
01/07/2020,33916209771
01/08/2020,35423753015
01/09/2020,38066517467
01/10/2020,39624584948
01/11/2020,41313036540
01/12/2020,40750606675
01/01/2021,33219619236
01/02/2021,35506686201
01/03/2021,36770951902
01/04/2021,38245042954
01/05/2021,39666944145
01/06/2021,39758625522
01/07/2021,40670403431
01/08/2021,39789650917
01/09/2021,42419658360
01/10/2021,43010765900
01/11/2021,43682848697
01/12/2021,46079845347
01/01/2022,50419586025
01/02/2022,49319360751
01/03/2022,52290739886
01/04/2022,53807001207
01/05/2022,54826441680
01/06/2022,52248098803
01/07/2022,52801409724
01/08/2022,54684428985
01/09/2022,51467343042
01/10/2022,52391042499
01/11/2022,52662025213
01/12/2022,57760648018